timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703106359364,7,Character by id,200,OK,Thread Group 1-35,text,true,,257,127,6,6,http://localhost:3001/character/1,7,0,0
1703106359369,4,Deletion,200,OK,Thread Group 1-32,text,true,,249,213,6,6,http://localhost:3001/character/4,4,0,0
1703106359370,5,Character change,200,OK,Thread Group 1-34,text,true,,266,285,6,6,http://localhost:3001/character/5,5,0,0
1703106359370,7,Character change,200,OK,Thread Group 1-33,text,true,,266,285,6,6,http://localhost:3001/character/5,7,0,0
1703106359367,11,Character by id,200,OK,Thread Group 1-36,text,true,,257,127,6,6,http://localhost:3001/character/1,11,0,0
1703106359364,15,Get characters,200,OK,Thread Group 1-37,text,true,,415,126,6,6,http://localhost:3001/characters,15,0,0
1703106359375,6,Deletion,200,OK,Thread Group 1-34,text,true,,249,213,6,6,http://localhost:3001/character/4,6,0,0
1703106359378,5,Deletion,200,OK,Thread Group 1-33,text,true,,249,213,5,5,http://localhost:3001/character/4,5,0,0
1703106359378,9,Character creation,200,OK,Thread Group 1-36,text,true,,264,284,5,5,http://localhost:3001/character,9,0,0
1703106359371,17,Character creation,200,OK,Thread Group 1-35,text,true,,264,284,5,5,http://localhost:3001/character,17,0,0
1703106359387,3,Character change,200,OK,Thread Group 1-36,text,true,,266,285,5,5,http://localhost:3001/character/5,3,0,0
1703106359380,11,Character by id,200,OK,Thread Group 1-37,text,true,,257,127,5,5,http://localhost:3001/character/1,10,0,0
1703106359375,19,Get characters,200,OK,Thread Group 1-38,text,true,,413,126,6,6,http://localhost:3001/characters,19,0,1
1703106359390,5,Deletion,200,OK,Thread Group 1-36,text,true,,249,213,6,6,http://localhost:3001/character/4,5,0,0
1703106359391,5,Character creation,200,OK,Thread Group 1-37,text,true,,264,284,5,5,http://localhost:3001/character,5,0,0
1703106359388,9,Character change,200,OK,Thread Group 1-35,text,true,,266,285,5,5,http://localhost:3001/character/5,9,0,0
1703106359384,14,Get characters,200,OK,Thread Group 1-39,text,true,,415,126,5,5,http://localhost:3001/characters,14,0,1
1703106359397,3,Character change,200,OK,Thread Group 1-37,text,true,,266,285,5,5,http://localhost:3001/character/5,3,0,0
1703106359398,3,Deletion,200,OK,Thread Group 1-35,text,true,,249,213,5,5,http://localhost:3001/character/4,3,0,0
1703106359394,8,Character by id,200,OK,Thread Group 1-38,text,true,,257,127,5,5,http://localhost:3001/character/1,8,0,0
1703106359400,3,Deletion,200,OK,Thread Group 1-37,text,true,,249,213,5,5,http://localhost:3001/character/4,3,0,0
1703106359398,6,Character by id,200,OK,Thread Group 1-39,text,true,,257,127,4,4,http://localhost:3001/character/1,6,0,0
1703106359394,12,Get characters,200,OK,Thread Group 1-40,text,true,,351,126,4,4,http://localhost:3001/characters,11,0,1
1703106359402,5,Character creation,200,OK,Thread Group 1-38,text,true,,264,284,4,4,http://localhost:3001/character,5,0,0
1703106359405,3,Character creation,200,OK,Thread Group 1-39,text,true,,264,284,4,4,http://localhost:3001/character,3,0,0
1703106359406,3,Character by id,200,OK,Thread Group 1-40,text,true,,257,127,4,4,http://localhost:3001/character/1,3,0,0
1703106359409,1,Character change,200,OK,Thread Group 1-39,text,true,,266,285,4,4,http://localhost:3001/character/5,1,0,0
